id,name,value
1,쌀밥,500
2,비빔밥,700
3,김밥,400
4,김치볶음밥,400
5,칼국수,400
6,물냉면,2400
7,비빔냉면,1100
8,된장찌개,1500
9,김치찌개,2300
10,미역국,2600
11,콩나물국,500
12,설렁탕,1000
13,갈비탕,5000
14,육개장,3000
15,순두부찌개,700
16,배추김치,300
17,콩나물,200
18,깍두기,300
19,시금치나물,500
20,장조림,5500
21,멸치조림,100
22,콩조림,700
23,제육볶음,1900
24,불고기,13900
25,고등어 구이,300
26,삼겹살 구이,2000
27,소고기 구이,7700
28,달걀프라이,100
29,잡채,600
30,계란찜,200
31,우유,1200
32,두유,300
33,치즈,11300
34,요거트,264
35,피자,2000
36,햄버거 세트,3700
37,후라이드 치킨,2100
38,카레,2900
39,볼로네제 파스타,4200
40,베이글,100
41,식빵,97
42,케이크,300
43,도넛,658
44,머핀,658
45,팬케이크,50
46,스콘,129
47,와플,53
48,크래커,28
49,감자칩,306
50,초콜렛,173
51,마시멜로,68
52,사탕,72
53,사과,72
54,아보카도,384
55,바나나,104
56,딸기,100
57,포도,345
58,오렌지,152
59,복숭아,152
60,배,82
61,수박,100
62,브로콜리,21
63,토마토,100
64,양파,84
65,버섯,112
66,마늘,1
67,고추,30
68,당근,91
69,양배추(80g),50
70,배추(80g),129
71,오이,1
72,"베이컨(1슬라이스, 33g)",219
73,소고기(65g),2816
74,닭고기(160g),753
75,소세지(11g),73
76,"햄(1슬라이스, 15g)",99
77,돼지고기(85g),563
78,오리고기(160g),809
79,"에스프레소(1샷, 30ml)",21
80,라떼(240ml),387
81,인스턴트 커피(400ml),645
82,과일쥬스(150ml),300
83,물(500ml),0
84,사이다(500ml),438
85,소주(25ml),58
86,와인(150ml),205